column0,column1,column2,column3,column4,column5,column6,column7,column8,column9
,,,,,,,,,
306,306,408,306,306,511,511,511,511,920
306,306,408,306,306,511,511,511,511,920
306,306,408,306,306,511,511,511,511,920
306,306,408,408,306,511,511,511,511,920
306,306,408,511,306,511,511,511,511,920
306,306,408,511,306,511,511,511,511,920
306,306,408,511,306,511,511,511,511,920
306,306,408,613,306,511,511,511,511,920
306,306,408,613,306,511,511,511,511,920
306,306,408,715,306,511,511,511,511,920
306,306,408,715,306,511,511,511,511,920
306,306,408,715,306,511,511,511,511,920
306,306,408,715,306,511,511,511,511,920
306,306,511,715,306,511,511,511,511,920
306,306,511,715,306,511,511,511,511,920
306,306,613,715,306,511,511,511,511,920
306,306,613,715,306,511,511,511,511,920
306,306,613,715,306,511,511,511,511,920
306,306,613,715,306,511,511,511,511,920
306,306,613,715,306,511,511,511,511,920
306,306,613,715,306,511,511,511,511,920
306,408,613,715,306,511,511,511,511,920
306,408,613,715,306,511,511,511,511,920
306,408,613,715,306,511,511,511,511,920
306,408,613,715,306,511,511,511,511,920
306,408,613,715,306,511,511,511,511,920
306,408,613,715,306,511,511,511,511,920
306,408,613,715,306,511,511,511,511,920
306,511,613,715,306,511,511,511,511,920
